year,month,Country,BC,SOX,CO2,NOx,PM2.5,PM10,NMVOC,N2O,CO,CH4
2010,2,Cook Islands,0.66,141.05,8775.12,473.16,22.37,24.31,18.11,0.92,8.9,0.3
2010,2,Fiji,1.38,181.86,11734.07,565.72,28.27,30.72,22.75,1.19,11.49,0.38
2010,2,Kiribati,2.49,222.57,19875.04,970.78,38.14,41.45,40.05,2,19.24,0.67
2010,2,Marshall Islands,1.3,129.68,9248.35,469.45,20.93,22.74,18.62,0.94,9.14,0.31
2010,2,Micronesia,4.87,1200.72,76053.17,4304.38,192.97,209.75,162.84,8.02,77.35,2.97
2010,2,Nauru,0.25,13.82,1160.19,56.67,2.38,2.59,2.57,0.12,1.15,0.04
2010,2,Niue,0.09,25.01,1606.58,90.07,4.06,4.42,3.4,0.17,1.64,0.05
2010,2,Palau,1.36,258.61,16245.7,906.92,41.25,44.84,34.23,1.7,16.51,0.89
2010,2,Papua New Guinea,14.99,2988.58,187335.29,10744.97,481.03,522.86,403.96,19.87,191.44,6.47
2010,2,Samoa,0.22,30.43,1914.09,78.76,4.49,4.88,3.26,0.18,1.82,0.06
2010,2,Solomon Islands,0.93,163.55,11420.51,623.56,27.1,29.45,24.74,1.21,11.62,0.4
2010,2,Tokelau,0.08,18.99,1176.48,60.84,2.98,3.23,2.36,0.12,1.18,0.04
2010,2,Tonga,0.48,67.35,4295.65,196.91,10.42,11.33,8.12,0.44,4.23,0.14
2010,2,Tuvalu,0.11,9.5,964.55,48.8,1.74,1.89,2.04,0.1,0.91,0.03
2010,2,Vanuatu,0.44,81.85,5188.2,264.98,12.84,13.95,10.34,0.53,5.17,0.17
2010,3,Cook Islands,1.09,170.21,10714.57,554.86,24.85,27.02,20.82,1.08,10.12,0.34
2010,3,Fiji,1.44,190.69,12249.23,578.21,28.07,30.51,23.02,1.21,11.45,0.38
2010,3,Kiribati,2.03,142.85,13546.02,651.97,24.55,26.69,27.14,1.35,12.91,0.45
2010,3,Marshall Islands,0.93,98.06,7452.67,365.06,15.56,16.92,14.46,0.74,7.03,0.95
2010,3,Micronesia,5.26,1209.42,77574.43,4441.3,195.71,212.73,168.07,8.23,79.1,4.13
2010,3,Nauru,0.2,8.92,879.16,44.08,1.68,1.83,2.16,0.09,0.91,0.04
2010,3,Niue,0.14,29.42,1853.69,102.34,4.7,5.11,3.89,0.19,1.88,0.06
2010,3,Palau,1.05,246.14,16372.15,871.04,39.31,42.73,33.67,1.67,16.99,3.78
2010,3,Papua New Guinea,15.88,3058.67,191780.19,11020.07,491.34,534.07,413.74,20.29,195.8,6.62
2010,3,Samoa,0.18,14.63,952.42,46.17,2.29,2.49,1.91,0.1,0.94,0.03
2010,3,Solomon Islands,1.41,248.58,17153.43,910.2,39.66,43.11,35.99,1.78,16.91,0.58
2010,3,Tokelau,0.04,8.14,578.24,30.61,1.29,1.4,1.14,0.06,0.55,0.02
2010,3,Tonga,0.32,48.24,3095.44,147.74,6.81,7.41,5.85,0.3,2.85,0.1
2010,3,Tuvalu,0.26,20.73,1892.88,84.82,3.4,3.69,3.69,0.19,1.76,0.06
2010,3,Vanuatu,0.87,164.77,10299.67,512.76,25.37,27.57,19.94,1.04,10.16,0.33
2010,4,Cook Islands,0.79,161.18,10405.02,545.56,25.26,27.46,20.8,1.06,10.31,0.34
2010,4,Fiji,1.14,155.22,10635.74,516.16,24.36,26.48,20.81,1.07,10.31,0.34
2010,4,Kiribati,2.09,234.77,17561.9,862.02,37.59,40.86,34.42,1.75,16.89,0.57
2010,4,Marshall Islands,0.63,87.95,6379.54,322.9,14.24,15.48,12.98,0.65,6.25,0.39
2010,4,Micronesia,6,1407.89,90846.54,5149.08,227.18,246.94,194.78,9.58,93.43,9.5
2010,4,Nauru,0.21,17.01,1136.27,59.04,2.75,2.99,2.53,0.12,1.16,0.04
2010,4,Niue,0.2,43.49,2840.62,147.56,6.82,7.42,5.62,0.29,2.82,0.09
2010,4,Palau,0.98,246.55,16383.23,894.02,39.57,43.02,35.04,1.72,18.76,7.11
2010,4,Papua New Guinea,16.96,3406.21,213505.15,12295.38,548.79,596.51,462.02,22.67,218.7,7.39
2010,4,Samoa,0.16,19.4,1221.76,51.56,2.83,3.08,2.09,0.11,1.15,0.04
2010,4,Solomon Islands,1.23,249.41,16710.85,885.47,40.06,43.54,35.18,1.74,16.74,0.57
2010,4,Tokelau,0.14,19.04,1206.15,48.9,2.72,2.96,1.94,0.11,1.11,0.03
2010,4,Tonga,0.47,61.11,4244.7,199.43,9.54,10.37,8.01,0.42,4.14,0.13
2010,4,Tuvalu,0.22,15.66,1594.48,76.33,2.81,3.05,3.27,0.16,1.49,0.05
2010,4,Vanuatu,0.85,141.68,8891.74,432.78,21.6,23.47,16.93,0.89,8.67,0.28
2010,5,Cook Islands,0.72,156.96,9909.49,528.01,24.67,26.82,20.31,1.02,9.93,0.33
2010,5,Fiji,1.64,209.1,13533.39,627.3,31.95,34.73,25.49,1.34,13.06,0.43
2010,5,Kiribati,1.39,178.1,14001.6,747.19,30.12,32.74,29.54,1.45,13.91,0.48
2010,5,Marshall Islands,1.1,110.03,8591.38,433.59,18.55,20.17,18.69,0.92,10.92,6.37
2010,5,Micronesia,7.28,1667.93,107801.54,6149.95,271.52,295.13,235.2,11.51,114.66,15.79
2010,5,Nauru,0.34,17.6,1721.27,82.51,3.13,3.4,3.51,0.17,1.64,0.06
2010,5,Niue,0.17,38.99,2455.11,129.69,6.14,6.67,5.01,0.25,2.46,0.08
2010,5,Palau,1.01,259.85,17604.14,958.15,42.26,45.94,38.32,1.87,21.37,10.28
