,year,month,Vessel Type,Country,CO2eq,Vessel
393,2009,7,Cargo,Tokelau,490.0,5
394,2009,7,Cargo,Tonga,2556.0,18
395,2009,7,Cargo,Tuvalu,398.0,6
396,2009,7,Cargo,Vanuatu,2669.0,24
397,2009,7,Fishing,Cook Islands,18.0,3
398,2009,7,Fishing,Fiji,50.0,2
399,2009,7,Fishing,Kiribati,1538.0,26
400,2009,7,Fishing,Marshall Islands,346.0,11
401,2009,7,Fishing,Micronesia,1613.0,16
402,2009,7,Fishing,Nauru,44.0,6
403,2009,7,Fishing,Niue,6.0,1
404,2009,7,Fishing,Palau,15.0,1
405,2009,7,Fishing,Papua New Guinea,77.0,5
406,2009,7,Fishing,Solomon Islands,793.0,13
407,2009,7,Fishing,Tonga,6.0,1
408,2009,7,Fishing,Tuvalu,646.0,14
409,2009,7,Others,Cook Islands,133.0,6
410,2009,7,Others,Fiji,760.0,17
411,2009,7,Others,Kiribati,1204.0,25
412,2009,7,Others,Marshall Islands,734.0,14
413,2009,7,Others,Micronesia,1455.0,43
414,2009,7,Others,Nauru,55.0,2
415,2009,7,Others,Niue,34.0,2
416,2009,7,Others,Palau,441.0,14
417,2009,7,Others,Papua New Guinea,2864.0,66
418,2009,7,Others,Samoa,215.0,7
419,2009,7,Others,Solomon Islands,896.0,16
420,2009,7,Others,Tonga,539.0,9
421,2009,7,Others,Tuvalu,750.0,9
422,2009,7,Others,Vanuatu,261.0,8
423,2009,7,Passenger,Fiji,243.0,1
424,2009,7,Passenger,Micronesia,17.0,1
425,2009,7,Passenger,Papua New Guinea,339.0,5
426,2009,7,Passenger,Vanuatu,1746.0,2
427,2009,7,Tanker,Cook Islands,275.0,3
428,2009,7,Tanker,Fiji,2149.0,8
429,2009,7,Tanker,Kiribati,619.0,8
430,2009,7,Tanker,Marshall Islands,1013.0,6
431,2009,7,Tanker,Micronesia,5757.0,38
432,2009,7,Tanker,Nauru,200.0,5
433,2009,7,Tanker,Niue,137.0,1
434,2009,7,Tanker,Palau,2258.0,24
435,2009,7,Tanker,Papua New Guinea,15521.0,75
436,2009,7,Tanker,Samoa,282.0,2
437,2009,7,Tanker,Solomon Islands,2459.0,13
438,2009,7,Tanker,Tokelau,14.0,1
439,2009,7,Tanker,Tonga,456.0,3
440,2009,7,Tanker,Tuvalu,329.0,4
441,2009,7,Tanker,Vanuatu,618.0,7
442,2009,8,Cargo,Cook Islands,6735.0,32
443,2009,8,Cargo,Fiji,4296.0,24
444,2009,8,Cargo,Kiribati,6503.0,52
445,2009,8,Cargo,Marshall Islands,3671.0,32
446,2009,8,Cargo,Micronesia,72445.0,382
447,2009,8,Cargo,Nauru,1210.0,11
448,2009,8,Cargo,Niue,1444.0,11
449,2009,8,Cargo,Palau,16900.0,122
450,2009,8,Cargo,Papua New Guinea,184778.0,620
451,2009,8,Cargo,Samoa,140.0,5
452,2009,8,Cargo,Solomon Islands,7594.0,60
453,2009,8,Cargo,Tokelau,120.0,3
454,2009,8,Cargo,Tonga,1575.0,14
455,2009,8,Cargo,Tuvalu,349.0,7
456,2009,8,Cargo,Vanuatu,3166.0,23
457,2009,8,Fishing,Cook Islands,11.0,1
458,2009,8,Fishing,Kiribati,3100.0,37
459,2009,8,Fishing,Marshall Islands,289.0,7
460,2009,8,Fishing,Micronesia,1358.0,22
461,2009,8,Fishing,Nauru,124.0,7
462,2009,8,Fishing,Papua New Guinea,183.0,8
463,2009,8,Fishing,Samoa,47.0,1
464,2009,8,Fishing,Solomon Islands,716.0,13
465,2009,8,Fishing,Tuvalu,228.0,11
466,2009,8,Others,Cook Islands,341.0,13
467,2009,8,Others,Fiji,636.0,18
468,2009,8,Others,Kiribati,2180.0,20
469,2009,8,Others,Marshall Islands,175.0,9
470,2009,8,Others,Micronesia,2280.0,42
471,2009,8,Others,Nauru,441.0,3
472,2009,8,Others,Niue,63.0,3
473,2009,8,Others,Palau,537.0,16
474,2009,8,Others,Papua New Guinea,2760.0,65
475,2009,8,Others,Samoa,144.0,3
476,2009,8,Others,Solomon Islands,1483.0,16
477,2009,8,Others,Tonga,243.0,8
478,2009,8,Others,Tuvalu,365.0,5
479,2009,8,Others,Vanuatu,247.0,6
480,2009,8,Passenger,Cook Islands,15.0,1
481,2009,8,Passenger,Fiji,2637.0,2
482,2009,8,Passenger,Micronesia,40.0,1
483,2009,8,Passenger,Papua New Guinea,399.0,5
484,2009,8,Passenger,Vanuatu,2269.0,2
485,2009,8,Tanker,Cook Islands,231.0,3
486,2009,8,Tanker,Fiji,1611.0,7
487,2009,8,Tanker,Kiribati,1389.0,9
488,2009,8,Tanker,Marshall Islands,450.0,4
489,2009,8,Tanker,Micronesia,4268.0,30
490,2009,8,Tanker,Nauru,109.0,4
491,2009,8,Tanker,Niue,64.0,2
492,2009,8,Tanker,Palau,1863.0,19
493,2009,8,Tanker,Papua New Guinea,15739.0,75
494,2009,8,Tanker,Samoa,154.0,3
495,2009,8,Tanker,Solomon Islands,2004.0,13
496,2009,8,Tanker,Tokelau,28.0,1
497,2009,8,Tanker,Tonga,85.0,2
498,2009,8,Tanker,Tuvalu,192.0,3
499,2009,8,Tanker,Vanuatu,302.0,3
500,2009,9,Cargo,Cook Islands,5909.0,33
501,2009,9,Cargo,Fiji,3357.0,20
502,2009,9,Cargo,Kiribati,5573.0,58
503,2009,9,Cargo,Marshall Islands,1924.0,20
504,2009,9,Cargo,Micronesia,59427.0,336
505,2009,9,Cargo,Nauru,485.0,8
506,2009,9,Cargo,Niue,1078.0,10
507,2009,9,Cargo,Palau,14744.0,124
508,2009,9,Cargo,Papua New Guinea,179453.0,598
509,2009,9,Cargo,Samoa,517.0,8
510,2009,9,Cargo,Solomon Islands,8477.0,63
511,2009,9,Cargo,Tokelau,211.0,3
512,2009,9,Cargo,Tonga,1755.0,9
513,2009,9,Cargo,Tuvalu,247.0,5
514,2009,9,Cargo,Vanuatu,2522.0,18
515,2009,9,Fishing,Cook Islands,65.0,3
516,2009,9,Fishing,Kiribati,1827.0,42
517,2009,9,Fishing,Marshall Islands,269.0,9
518,2009,9,Fishing,Micronesia,1024.0,19
519,2009,9,Fishing,Nauru,58.0,4
520,2009,9,Fishing,Niue,7.0,1
521,2009,9,Fishing,Palau,16.0,1
522,2009,9,Fishing,Papua New Guinea,583.0,12
523,2009,9,Fishing,Solomon Islands,38.0,2
524,2009,9,Fishing,Tonga,18.0,1
525,2009,9,Fishing,Tuvalu,716.0,17
526,2009,9,Others,Cook Islands,138.0,5
527,2009,9,Others,Fiji,273.0,12
528,2009,9,Others,Kiribati,1024.0,26
529,2009,9,Others,Marshall Islands,1308.0,12
530,2009,9,Others,Micronesia,2613.0,46
531,2009,9,Others,Nauru,213.0,4
532,2009,9,Others,Niue,45.0,2
533,2009,9,Others,Palau,191.0,9
534,2009,9,Others,Papua New Guinea,2141.0,58
535,2009,9,Others,Samoa,20.0,1
536,2009,9,Others,Solomon Islands,597.0,10
537,2009,9,Others,Tonga,236.0,3
538,2009,9,Others,Tuvalu,368.0,3
539,2009,9,Others,Vanuatu,122.0,5
540,2009,9,Passenger,Cook Islands,1186.0,1
541,2009,9,Passenger,Fiji,3186.0,3
542,2009,9,Passenger,Kiribati,2385.0,2
543,2009,9,Passenger,Micronesia,136.0,2
544,2009,9,Passenger,Niue,294.0,1
545,2009,9,Passenger,Papua New Guinea,850.0,6
546,2009,9,Passenger,Tonga,1912.0,2
547,2009,9,Passenger,Vanuatu,592.0,1
548,2009,9,Tanker,Cook Islands,405.0,4
549,2009,9,Tanker,Fiji,2008.0,11
550,2009,9,Tanker,Kiribati,1057.0,11
551,2009,9,Tanker,Marshall Islands,771.0,8
552,2009,9,Tanker,Micronesia,5932.0,35
553,2009,9,Tanker,Nauru,144.0,3
554,2009,9,Tanker,Niue,33.0,1
555,2009,9,Tanker,Palau,2359.0,23
556,2009,9,Tanker,Papua New Guinea,18458.0,72
557,2009,9,Tanker,Samoa,91.0,1
558,2009,9,Tanker,Solomon Islands,823.0,10
559,2009,9,Tanker,Tonga,370.0,4
560,2009,9,Tanker,Tuvalu,78.0,3
561,2009,9,Tanker,Vanuatu,615.0,6
562,2009,10,Cargo,Cook Islands,5609.0,28
563,2009,10,Cargo,Fiji,4636.0,23
564,2009,10,Cargo,Kiribati,6984.0,59
565,2009,10,Cargo,Marshall Islands,3069.0,31
566,2009,10,Cargo,Micronesia,75106.0,397
567,2009,10,Cargo,Nauru,509.0,10
568,2009,10,Cargo,Niue,1288.0,11
569,2009,10,Cargo,Palau,16979.0,152
570,2009,10,Cargo,Papua New Guinea,185314.0,633
571,2009,10,Cargo,Samoa,384.0,7
572,2009,10,Cargo,Solomon Islands,9663.0,70
